user_id,start_point_id,start_point_latitude,start_point_longitude,potential_group_members
0056f1b4,12,52.6757468,13.162615900000002,"0056f1b4,09e3d279,0b22e2ff,0de1c4c9,0f350573,1c295432,217a5d50,2367e925,26461130,33858c12,3852de9c,393b160c,3bbd3ac0,40cc739d,51844b42,51bee9f1,5db0c492,5f3b56c7,6e087553,831f458f,83b2e10e,884c7a5b,9b8194b0,9cf1b021,a67dc91d,ac003a6a,af81c699,b2c04671,c6c86845,cbe515b5,cd5c1a7f,cddabcf2,d255cd5d,de41d657,df35d7b7,df93b5fb,e42438e8,f42b527e,f7919c50,fa8ead38"
00b8012f,0,52.61216829999999,12.878339100000002,"00b8012f,03de54c0,06b2d2d6,21236a2e,3ab1a4a1,4d5d5547,546ebedb,619ce5d1,68c4b787,70726c59,7441c54f,8ac4e222,94925004,9818b3f6,9dce7bb2,a4eeb7ec,bf712272,c1c047e5,c46aaefc,db2a260b,e04cb2d7,f533e9da"
013ff296,22,52.31214860000001,13.732564100000001,"013ff296,05f91eb5,074eba34,167f419f,382c0712,3ec58b7d,61c4f0fc,64e5842d,72e8bcff,7cce75d0,7d9f35ef,86ec1adb,93c02b49,98bb9c85,b187f4b7,befa5357,ca310b20,f51e28ec,f578e4af,f72be546"
01f0147f,21,52.485742999999985,13.792342900000001,"01f0147f,057cf01a,168456c9,1aba69f8,1ac26360,24dadc54,3314693d,37bf2a21,414cfe46,51df9317,5a72695e,619db71d,63a75dfc,679ce6a0,70a462c4,785dfd8b,82526cfe,88e3626c,95937d9e,9b0d3493,9c223408,a58913f7,b6769028,ba0eac41,cd4d9c58,d14ee374,d6a421c1,d8a58877,e796c9ee,eaad4bc8,efd288dc"
033ae103,14,52.5483861,13.864978100000002,"033ae103,1a84ea3a,1e30d12d,202b66f2,265369c4,2a07a383,300df32b,3ab05e10,43977688,490b5c17,4ad16ee8,54358a5b,5a294da2,5f79e8bb,72366116,73ef72bc,78466189,791cf538,7973588f,840cac02,85a637c0,8ca51781,920fac89,93fcd5d9,9600ae69,9e36fc11,a6c2be7c,ac4ee04a,b89ef925,ba085463,cb43d8f3,d164cc1e,e0f7831e,e6c94603,ebeec208"
036a2308,20,52.4118191,12.665463,"036a2308,04c34668,1dd4444f,2c0c55c2,37f2f9fd,49749d2c,518e0ff6,867f9714,b4385d3f,c3109b02,e6f94b78,f964caac"
03de54c0,0,52.61216829999999,12.878339100000002,"00b8012f,03de54c0,06b2d2d6,21236a2e,3ab1a4a1,4d5d5547,546ebedb,619ce5d1,68c4b787,70726c59,7441c54f,8ac4e222,94925004,9818b3f6,9dce7bb2,a4eeb7ec,bf712272,c1c047e5,c46aaefc,db2a260b,e04cb2d7,f533e9da"
03ef8c3c,3,52.2433737,12.9653913,"03ef8c3c,04626f50,0cd27431,17a5966b,1b144b34,2c4d54c3,3e9923b3,61af50bc,66a76264,68b90aa1,75ff6bb1,84fe344f,9085f890,94e2e766,94e65fed,9be6abe6,9d284b0e,a03ec218,a55c49c9,b96a4f7e,c0999d62,cd17f4dd"
04626f50,3,52.2433737,12.9653913,"03ef8c3c,04626f50,0cd27431,17a5966b,1b144b34,2c4d54c3,3e9923b3,61af50bc,66a76264,68b90aa1,75ff6bb1,84fe344f,9085f890,94e2e766,94e65fed,9be6abe6,9d284b0e,a03ec218,a55c49c9,b96a4f7e,c0999d62,cd17f4dd"
04973b3a,2,52.364930599999994,13.3002178,"04973b3a,0af84de4,0d228a3f,12b5076d,1e90264a,319536db,32b144cc,36a4da66,374ce629,52f6ff29,54d315c4,6b4be550,6c99647a,7589185a,76b3388b,7bc4f268,8407d58d,9890ea8a,a0b4756c,a1dd2b76,b1a064ee,b417da04,bc8f742e,bda3de1c,ce15833a,d59fbdb6,e14cdff2,e7381442,ec15322b,ef849b95,f63bf82e,f6db86c3,fa7b3cd6,fde11a13"
